Id,SalePrice
1461,120553.93187964284
1462,157938.61394488718
1463,182477.8540828896
1464,193465.00972858968
1465,188891.72751885172
1466,172213.247441517
1467,180040.67005683895
1468,166818.7952856166
1469,193297.6567147164
1470,125913.73086058893
1471,187146.709411329
1472,96502.3100654425
1473,98676.4239762354
1474,149417.79001490778
1475,115464.57956123383
1476,373850.79037835245
1477,257036.60856749807
1478,282986.29093275155
1479,277024.833584728
1480,493371.40390607517
1481,328912.7138069663
1482,214392.35980429882
1483,172486.68130461476
1484,162054.16903631625
1485,185866.991477174
1486,194214.31033670806
1487,349407.1351487687
1488,237459.18921981
1489,197553.16331582304
1490,232433.75904497047
1491,189934.8216513803
1492,93545.28248228737
1493,176930.47247834387
1494,291494.44511156064
1495,279870.8531727683
1496,232541.8240611048
1497,174218.6431019474
1498,161612.36105377515
1499,157826.5842960115
1500,152315.7543984504
1501,176740.06540719996
1502,145158.13596855875
1503,286371.7216241143
1504,248378.66808252028
1505,231175.9640043934
1506,193309.56652234492
1507,242501.33582957918
1508,195470.29073458316
1509,165002.7286213374
1510,142137.0106414785
1511,148615.75127268655
1512,171267.4691822195
1513,144331.1656948486
1514,153346.74120751082
1515,191981.24056082653
1516,147713.51775280555
1517,168697.5602703483
1518,132702.357297214
1519,209915.67937252173
1520,131889.92989680675
1521,134092.74203751225
1522,174991.77940707403
1523,116805.92613081227
1524,126725.60739236063
1525,123109.06547954382
1526,113938.23323706046
1527,109218.36294408682
1528,136705.2843050719
1529,151560.47276318265
1530,177588.97154272688
1531,109976.93232769474
1532,95910.85589222799
1533,145066.2657642852
1534,123006.89998169843
1535,152665.90232091898
1536,109464.85217279845
1537,64331.47319879881
1538,148745.03570410004
1539,196136.60649624627
1540,92494.08063631886
1541,146417.57911503932
1542,141232.12870186416
1543,200427.24330639397
1544,84357.93736851246
1545,112659.78331225533
1546,129431.93022203674
1547,130699.38496941676
1548,134387.03323344523
1549,123121.68411843418
1550,135790.86427718296
1551,106093.8369302257
1552,137696.86840917353
1553,154320.78400942122
1554,115426.15549609378
1555,165842.25801936194
1556,84412.9715405833
1557,102910.0652057767
1558,95101.55985911122
1559,82322.47900378754
1560,131209.65545162978
1561,120432.29085355547
1562,126167.04845702328
1563,117307.6723684599
1564,161263.39159593315
1565,140375.26554800427
1566,245178.97376584852
1567,76254.41981238987
1568,237557.86853926856
1569,138346.37795974952
1570,144860.32993805528
1571,124494.20819911087
1572,144716.79771571694
1573,249075.2509600404
1574,111413.09970378973
1575,229780.36699978245
1576,241013.81490245627
1577,182571.31336717214
1578,139428.0240314299
1579,150000.36257561148
1580,193449.45538731528
1581,153377.0665593727
1582,122865.67555945
1583,306039.9790605
1584,222254.37618645892
1585,138953.93343930528
1586,64808.46670616577
1587,100780.7080313622
1588,158691.03807321884
1589,92271.25752677038
1590,136000.0472608083
1591,94655.17484249189
1592,111326.07622799811
1593,119784.75291493977
1594,120983.26416198838
1595,111324.90765858724
1596,228946.75975256687
1597,196756.76042530956
1598,218186.66152844913
1599,167188.39870451667
1600,162805.5005375116
1601,60541.689497414285
1602,109265.15167635532
1603,80540.24099426126
1604,267170.05121069326
1605,234205.85647568427
1606,168992.64229542066
1607,171206.04308640937
1608,217709.07806885615
1609,183892.2610033556
1610,160493.60657663696
1611,135528.4318833691
1612,166830.69198708513
1613,165568.47515943978
1614,122614.666986995
1615,93674.97886720348
1616,79040.84149475413
1617,90400.51289462564
1618,126015.91673163338
1619,141778.6958475292
1620,156158.72802520968
1621,143562.36390774688
1622,142946.14130430986
1623,260181.34252175098
1624,210859.0588091656
1625,117932.90735961978
1626,161095.72821172146
1627,189436.3725932148
1628,267128.70335220493
1629,180406.4356472701
1630,358896.9315136811
1631,231971.51704874323
1632,248999.25662794587
1633,170026.06277614957
1634,189021.56046059215
1635,174672.27912652848
1636,154018.3728440141
1637,198074.34474152935
1638,187097.21159212146
1639,181626.8156511519
1640,251225.2129437769
1641,181480.46898824675
1642,240882.6211317727
1643,222461.44377825747
1644,241874.01834778598
1645,204913.05920182448
1646,160815.16107297424
1647,151406.37912104896
1648,129907.0376245182
1649,147560.67556939917
1650,111784.35896139714
1651,121905.6163019619
1652,99344.44542380025
1653,102325.71181911195
1654,144371.35861481755
1655,139541.86178933425
1656,142894.51345305156
1657,148796.66459457428
1658,143081.41219259368
1659,120226.0617414033
1660,145849.81102761827
1661,459975.8175265456
1662,413043.45169538027
1663,394947.1733693855
1664,515536.1131759243
1665,308418.8654830431
1666,345549.4094746229
1667,404318.748648792
1668,343978.5440065432
1669,289363.4586724676
1670,348798.8252954458
1671,272815.18475428276
1672,438853.644928046
1673,303371.0070624145
1674,247818.18527020095
1675,198381.60165497195
1676,195788.49818747767
1677,226914.22934490754
1678,460432.78013958817
1679,398496.92149567074
1680,341121.1235051534
1681,249607.612311844
1682,310863.1208857481
1683,183839.0050917295
1684,175950.2141482489
1685,172993.8697152032
1686,166394.16443953034
1687,167956.87471941416
1688,188576.5135613947
1689,195244.13645833236
1690,195572.12930401057
1691,186045.8546477106
1692,257954.5891238079
1693,171385.1253771969
1694,185200.65472120003
1695,163051.18925818198
1696,272904.421389148
1697,170492.52686429524
1698,356081.2956968823
1699,324208.21436837077
1700,249853.414850521
1701,263661.6019699673
1702,249155.32516795638
1703,247816.54044654846
1704,288455.46545880934
1705,239857.4644415252
1706,436949.82545016974
1707,214320.95754635922
